1413393218.105761 -0.179613 0.228210 0.260890 0.809490 -0.015821 0.586186 0.029353
1413393218.205760 -0.195885 0.267650 0.275344 0.810692 -0.029670 0.584095 0.027036
1413393218.305760 -0.218183 0.304234 0.280721 0.813125 -0.039458 0.580462 0.018283
1413393218.405761 -0.247403 0.328562 0.277385 0.813127 -0.032412 0.580940 0.016816
1413393218.505760 -0.277646 0.345319 0.266584 0.813437 -0.021348 0.580852 0.021808
1413393218.605761 -0.316847 0.372967 0.256761 0.810785 -0.012039 0.584706 0.024511
1413393218.705760 -0.351125 0.397472 0.251974 0.810112 -0.007296 0.585821 0.021875
1413393218.805760 -0.384975 0.422690 0.246827 0.813756 -0.005491 0.580862 0.019252
1413393218.905761 -0.419712 0.450932 0.245714 0.823960 -0.014015 0.566259 0.015626
1413393219.005760 -0.449107 0.476458 0.248576 0.831995 -0.016757 0.554424 0.010841
1413393219.105761 -0.473227 0.494096 0.253549 0.833594 -0.013556 0.552198 0.003766
1413393219.205760 -0.493048 0.506587 0.263740 0.833028 -0.005683 0.553147 -0.007761
1413393219.305760 -0.508587 0.520688 0.277322 0.831281 0.001042 0.555623 -0.015933
1413393219.405761 -0.512682 0.542252 0.284799 0.828830 -0.002158 0.559337 -0.013356
1413393219.505760 -0.511227 0.571809 0.284641 0.823621 -0.011389 0.567024 0.001262
1413393219.605761 -0.505006 0.589349 0.280636 0.819047 -0.014517 0.573493 0.007504
1413393219.705760 -0.495106 0.602714 0.279851 0.813648 -0.018268 0.580884 0.014711
1413393219.805760 -0.486974 0.614813 0.296667 0.809931 -0.017492 0.585865 0.021649
1413393219.905761 -0.479913 0.619276 0.329828 0.811445 -0.014063 0.583855 0.021728
1413393220.005760 -0.474408 0.624953 0.364170 0.811551 -0.009957 0.583802 0.021455
1413393220.105761 -0.470601 0.631073 0.390416 0.811297 -0.007640 0.584230 0.020347
1413393220.205760 -0.467692 0.638533 0.413076 0.810780 -0.005752 0.584959 0.020616
1413393220.305760 -0.466792 0.647988 0.436461 0.809931 -0.004656 0.586141 0.020692
1413393220.405761 -0.463490 0.659485 0.458630 0.808829 -0.004823 0.587676 0.020232
1413393220.505760 -0.465529 0.670565 0.481785 0.810223 -0.004140 0.585818 0.018381
1413393220.605761 -0.468226 0.682358 0.499436 0.812006 -0.005266 0.583355 0.017750
1413393220.705760 -0.471941 0.693728 0.506331 0.811201 -0.006071 0.584485 0.017097
1413393220.805760 -0.475788 0.707295 0.505199 0.813427 -0.010360 0.581475 0.010778
1413393220.905761 -0.478176 0.719880 0.507267 0.815437 -0.015746 0.578604 0.005575
1413393221.005760 -0.479636 0.729526 0.521670 0.816023 -0.019383 0.577628 0.008753
1413393221.105761 -0.482130 0.734804 0.546141 0.817795 -0.019930 0.575062 0.010864
